"","country","country_group","age_pr","household_income","trust_president","satisfaction_economy"
"141","Albania","EU-candidate",36,60000,5,4
"142","Albania","EU-candidate",80,80000,3,4
"143","Albania","EU-candidate",62,65000,3,4
"144","Albania","EU-candidate",61,50000,5,4
"145","Albania","EU-candidate",61,130000,4,4
"146","Albania","EU-candidate",54,140000,3,5
"147","Albania","EU-candidate",64,26000,4,3
"148","Albania","EU-candidate",36,85000,4,4
"149","Albania","EU-candidate",62,46000,5,4
"150","Albania","EU-candidate",36,140000,4,4
"151","Albania","EU-candidate",51,23500,2,3
"152","Albania","EU-candidate",64,25000,3,2
"153","Albania","EU-candidate",61,72000,4,4
"154","Albania","EU-candidate",70,50000,5,4
"155","Albania","EU-candidate",32,42000,5,3
"156","Albania","EU-candidate",56,120000,3,4
"157","Albania","EU-candidate",34,85000,4,3
"158","Albania","EU-candidate",50,30000,5,3
"159","Albania","EU-candidate",30,28000,4,3
"160","Albania","EU-candidate",22,36000,5,3
"161","Albania","EU-candidate",46,6000,4,5
"162","Albania","EU-candidate",25,40000,2,3
"163","Albania","EU-candidate",30,40000,2,4
"164","Albania","EU-candidate",35,40000,2,3
"165","Albania","EU-candidate",28,20000,3,4
"166","Albania","EU-candidate",50,80000,2,4
"167","Albania","EU-candidate",48,80000,2,3
"168","Albania","EU-candidate",19,40000,2,4
"169","Albania","EU-candidate",21,40000,5,5
"170","Albania","EU-candidate",52,NA,1,4
"171","Albania","EU-candidate",48,70000,2,4
"172","Albania","EU-candidate",25,NA,2,4
"173","Albania","EU-candidate",54,NA,3,4
"174","Albania","EU-candidate",30,50000,2,3
"175","Albania","EU-candidate",61,70000,4,5
"176","Albania","EU-candidate",22,100000,1,4
"177","Albania","EU-candidate",58,40000,3,4
"178","Albania","EU-candidate",23,80000,2,3
"179","Albania","EU-candidate",59,60000,2,4
"180","Albania","EU-candidate",30,40000,2,4
"181","Albania","EU-candidate",51,50000,3,4
"182","Albania","EU-candidate",40,80000,3,5
"183","Albania","EU-candidate",48,40000,4,4
"184","Albania","EU-candidate",18,75000,4,4
"185","Albania","EU-candidate",73,40000,4,4
"186","Albania","EU-candidate",54,60000,4,3
"187","Albania","EU-candidate",20,100000,NA,4
"188","Albania","EU-candidate",30,45000,1,4
"189","Albania","EU-candidate",64,65000,4,4
"190","Albania","EU-candidate",33,70000,3,4
"191","Albania","EU-candidate",60,20000,3,2
"192","Albania","EU-candidate",60,80000,4,4
