"","date","approval","percentage"
"707",2003-05-01,"Don't approve",0.27
"708",2003-05-01,"No answer",0.03
"709",2003-04-01,"Approve",0.73
"710",2003-04-01,"Don't approve",0.24
"711",2003-04-01,"No answer",0.03
"712",2003-03-01,"Approve",0.75
"713",2003-03-01,"Don't approve",0.21
"714",2003-03-01,"No answer",0.04
"715",2003-02-01,"Approve",0.76
"716",2003-02-01,"Don't approve",0.22
"717",2003-02-01,"No answer",0.02
"718",2003-01-01,"Approve",0.75
"719",2003-01-01,"Don't approve",0.22
"720",2003-01-01,"No answer",0.03
"721",2002-12-01,"Approve",0.82
"722",2002-12-01,"Don't approve",0.16
"723",2002-12-01,"No answer",0.02
"724",2002-11-01,"Approve",0.83
"725",2002-11-01,"Don't approve",0.15
"726",2002-11-01,"No answer",0.02
"727",2002-10-01,"Approve",0.77
"728",2002-10-01,"Don't approve",0.19
"729",2002-10-01,"No answer",0.04
"730",2002-09-01,"Approve",0.77
"731",2002-09-01,"Don't approve",0.2
"732",2002-09-01,"No answer",0.03
"733",2002-08-01,"Approve",0.76
"734",2002-08-01,"Don't approve",0.2
"735",2002-08-01,"No answer",0.05
"736",2002-07-01,"Approve",0.73
"737",2002-07-01,"Don't approve",0.2
"738",2002-07-01,"No answer",0.07
"739",2002-06-01,"Approve",0.75
"740",2002-06-01,"Don't approve",0.2
"741",2002-06-01,"No answer",0.04
"742",2002-05-01,"Approve",0.75
"743",2002-05-01,"Don't approve",0.2
"744",2002-05-01,"No answer",0.05
"745",2002-04-01,"Approve",0.71
"746",2002-04-01,"Don't approve",0.22
"747",2002-04-01,"No answer",0.08
"748",2002-03-01,"Approve",0.72
"749",2002-03-01,"Don't approve",0.24
"750",2002-03-01,"No answer",0.05
"751",2002-02-01,"Approve",0.75
"752",2002-02-01,"Don't approve",0.2
"753",2002-02-01,"No answer",0.05
"754",2002-01-01,"Approve",0.75
"755",2002-01-01,"Don't approve",0.19
"756",2002-01-01,"No answer",0.06
"757",2001-12-01,"Approve",0.73
"758",2001-12-01,"Don't approve",0.19
"759",2001-12-01,"No answer",0.09
"760",2001-11-01,"Approve",0.8
"761",2001-11-01,"Don't approve",0.18
"762",2001-11-01,"No answer",0.02
"763",2001-10-01,"Approve",0.75
"764",2001-10-01,"Don't approve",0.19
"765",2001-10-01,"No answer",0.06
"766",2001-09-01,"Approve",0.73
"767",2001-09-01,"Don't approve",0.21
"768",2001-09-01,"No answer",0.07
"769",2001-08-01,"Approve",0.74
"770",2001-08-01,"Don't approve",0.19
"771",2001-08-01,"No answer",0.07
"772",2001-07-01,"Approve",0.72
"773",2001-07-01,"Don't approve",0.22
"774",2001-07-01,"No answer",0.07
"775",2001-06-01,"Approve",0.72
"776",2001-06-01,"Don't approve",0.22
"777",2001-06-01,"No answer",0.06
"778",2001-05-01,"Approve",0.71
"779",2001-05-01,"Don't approve",0.22
"780",2001-05-01,"No answer",0.08
"781",2001-04-01,"Approve",0.7
"782",2001-04-01,"Don't approve",0.25
"783",2001-04-01,"No answer",0.06
"784",2001-03-01,"Approve",0.75
"785",2001-03-01,"Don't approve",0.19
"786",2001-03-01,"No answer",0.06
"787",2001-02-01,"Approve",0.69
"788",2001-02-01,"Don't approve",0.21
"789",2001-02-01,"No answer",0.1
"790",2001-01-01,"Approve",0.76
"791",2001-01-01,"Don't approve",0.18
"792",2001-01-01,"No answer",0.06
"793",2000-12-01,"Approve",0.68
"794",2000-12-01,"Don't approve",0.23
"795",2000-12-01,"No answer",0.1
"796",2000-11-01,"Approve",0.7
"797",2000-11-01,"Don't approve",0.22
"798",2000-11-01,"No answer",0.08
"799",2000-10-01,"Approve",0.64
"800",2000-10-01,"Don't approve",0.26
"801",2000-10-01,"No answer",0.11
"802",2000-09-01,"Approve",0.65
"803",2000-09-01,"Don't approve",0.27
"804",2000-09-01,"No answer",0.08
"805",2000-08-01,"Approve",0.65
"806",2000-08-01,"Don't approve",0.26
"807",2000-08-01,"No answer",0.1
"808",2000-07-01,"Approve",0.72
"809",2000-07-01,"Don't approve",0.17
"810",2000-07-01,"No answer",0.1
"811",2000-06-01,"Approve",0.61
"812",2000-06-01,"Don't approve",0.26
"813",2000-06-01,"No answer",0.13
"814",2000-05-01,"Approve",0.72
"815",2000-05-01,"Don't approve",0.17
"816",2000-05-01,"No answer",0.11
"817",2000-04-01,"Approve",0.77
"818",2000-04-01,"Don't approve",0.15
"819",2000-04-01,"No answer",0.08
"820",2000-03-01,"Approve",0.7
"821",2000-03-01,"Don't approve",0.21
"822",2000-03-01,"No answer",0.09
"823",2000-02-01,"Approve",0.75
"824",2000-02-01,"Don't approve",0.17
"825",2000-02-01,"No answer",0.08
"826",2000-01-01,"Approve",0.84
"827",2000-01-01,"Don't approve",0.1
"828",2000-01-01,"No answer",0.07
"829",1999-12-01,"Approve",0.79
"830",1999-12-01,"Don't approve",0.13
"831",1999-12-01,"No answer",0.08
"832",1999-11-01,"Approve",0.8
"833",1999-11-01,"Don't approve",0.12
"834",1999-11-01,"No answer",0.08
"835",1999-10-01,"Approve",0.65
"836",1999-10-01,"Don't approve",0.2
"837",1999-10-01,"No answer",0.15
"838",1999-09-01,"Approve",0.53
"839",1999-09-01,"Don't approve",0.27
"840",1999-09-01,"No answer",0.2
"841",1999-08-01,"Approve",0.31
"842",1999-08-01,"Don't approve",0.33
"843",1999-08-01,"No answer",0.37
